0.12,75.00,3.00,27.50,98.87,34.30,234.36,159.06,269.46,4.40,137.0
0.2506061,74.00,3.00,27.49,98.87,34.28,234.19,159.14,269.46,4.34,138.0
0.537483,75.00,3.00,27.50,98.87,34.28,233.53,159.24,269.60,4.36,137.0
0.8186181,76.00,3.00,27.50,98.87,34.29,234.36,159.20,269.52,4.20,138.0
1.100383,75.00,3.00,27.50,98.87,34.29,233.20,159.36,269.38,4.34,138.0
1.431699,76.00,3.00,27.50,98.87,34.29,233.70,159.40,269.44,4.30,137.0
1.746214,76.00,3.00,27.50,98.87,34.31,232.87,159.32,269.76,4.24,137.0
2.061348,75.00,3.00,27.50,98.87,34.29,234.19,159.46,269.72,4.34,137.0
2.262074,75.00,3.00,27.50,98.87,34.28,233.86,159.44,269.76,4.32,137.0
2.559965,74.00,3.00,27.49,98.87,34.28,234.03,159.50,269.80,4.26,137.0
2.874845,75.00,3.00,27.50,98.87,34.29,234.69,159.60,269.62,4.38,138.0
3.172785,75.00,3.00,27.50,98.87,34.29,234.36,159.58,269.64,4.30,137.0
3.388694,74.00,3.00,27.50,98.87,34.28,233.70,159.76,269.78,4.24,137.0
3.687216,75.00,3.00,27.50,98.87,34.29,232.87,159.56,269.70,4.20,138.0
4.001753,74.00,3.00,27.50,98.87,34.30,233.53,159.72,269.78,4.18,137.0
4.299946,75.00,3.00,27.50,98.87,34.28,234.69,159.66,269.88,4.26,137.0
4.51701,75.00,3.00,27.50,98.87,34.27,233.04,159.74,269.84,4.32,138.0
4.765571,75.00,3.00,27.50,98.87,34.28,233.37,159.82,269.84,4.16,138.0
5.131539,75.00,3.00,27.50,98.87,34.28,234.03,159.88,269.96,4.46,137.0
5.429003,75.00,3.00,27.50,98.87,34.29,234.19,159.88,269.88,4.24,138.0
5.644945,75.00,3.00,27.50,98.87,34.29,232.87,160.10,269.84,4.24,138.0
5.942729,76.00,3.00,27.50,98.87,34.29,233.20,160.04,270.02,4.32,137.0
6.241791,75.00,3.00,27.51,98.87,34.29,234.36,160.04,270.00,4.28,137.0
6.556466,75.00,3.00,27.50,98.87,34.30,234.03,160.04,270.02,4.34,137.0
6.754829,76.00,3.00,27.51,98.87,34.29,233.70,160.24,269.98,4.36,137.0
7.070144,76.00,3.00,27.51,98.87,34.29,233.86,160.16,270.04,4.22,137.0
7.385891,75.00,3.00,27.51,98.87,34.29,233.37,160.26,270.10,4.30,137.0
7.685244,75.00,3.00,27.50,98.87,34.28,234.03,160.22,269.94,4.36,137.0
7.984088,74.00,3.00,27.51,98.87,34.29,232.71,160.26,270.00,4.38,138.0
8.200362,76.00,3.00,27.51,98.87,34.29,233.86,160.36,270.08,4.34,138.0
8.514231,76.00,3.00,27.51,98.87,34.29,234.03,160.46,270.08,4.30,138.0
8.813498,71.00,3.00,27.51,98.87,34.31,233.86,160.58,270.10,4.34,138.0
9.111663,75.00,3.00,27.51,98.87,34.28,233.04,160.52,270.12,4.28,137.0
