17.56715,274.00,1.00,27.14,102.13,39.35,254.57,299.18,380.02,4.54,215.0
17.88428,276.00,1.00,27.15,102.13,39.35,255.16,300.70,380.04,4.68,215.0
18.18358,280.00,1.00,27.15,102.13,39.35,255.55,302.32,380.18,4.62,215.0
18.47782,282.00,1.00,27.15,102.13,39.32,255.16,303.84,380.34,4.64,215.0
18.68429,284.00,1.00,27.15,102.12,39.34,254.77,305.66,380.44,4.62,215.0
18.99998,287.00,1.00,27.15,102.13,39.34,255.55,307.20,380.32,4.58,216.0
19.29769,289.00,1.00,27.16,102.13,39.34,255.55,308.82,380.40,4.54,215.0
19.60256,291.00,1.00,27.16,102.12,39.34,254.57,310.40,380.46,4.52,215.0
19.8021,293.00,1.00,27.15,102.12,39.35,257.35,311.94,380.50,4.70,215.0
20.11461,296.00,1.00,27.16,102.12,39.34,254.77,313.40,380.46,4.52,215.0
20.43161,298.00,1.00,27.16,102.13,39.35,255.36,315.16,380.64,4.64,214.0
20.7319,300.00,1.00,27.16,102.13,39.35,256.55,316.86,380.66,4.60,214.0
20.94993,302.00,1.00,27.16,102.13,39.35,255.36,318.42,380.72,4.56,216.0
21.24449,305.00,1.00,27.16,102.13,39.34,254.77,319.96,380.72,4.52,216.0
21.55231,307.00,1.00,27.17,102.13,39.35,255.36,321.30,380.58,4.58,215.0
21.86666,308.00,1.00,27.16,102.12,39.35,254.18,322.92,380.78,4.56,215.0
22.06143,310.00,1.00,27.16,102.13,39.32,255.95,324.36,380.72,4.70,214.0
22.36774,313.00,1.00,27.17,102.13,39.36,253.79,325.68,380.88,4.60,214.0
22.69788,314.00,1.00,27.17,102.13,39.36,254.96,327.20,380.92,4.48,215.0
22.99802,317.00,1.00,27.16,102.12,39.35,254.77,328.72,380.94,4.56,215.0
23.19776,318.00,1.00,27.17,102.12,39.36,253.98,330.22,381.08,4.64,214.0
23.50015,320.00,1.00,27.17,102.13,39.36,253.79,331.54,380.88,4.58,215.0
23.80018,321.00,1.00,27.18,102.12,39.35,256.35,332.84,381.02,4.78,215.0
24.11496,324.00,1.00,27.18,102.12,39.33,255.95,334.24,381.06,4.68,215.0
24.31835,326.00,1.00,27.17,102.12,39.36,254.96,335.74,381.06,4.58,215.0
24.6316,326.00,1.00,27.18,102.13,39.36,253.98,337.24,381.12,4.68,215.0
24.93147,329.00,1.00,27.18,102.12,39.35,253.98,338.56,381.10,4.50,215.0
25.25031,332.00,1.00,27.18,102.13,39.35,253.98,339.90,381.06,4.60,214.0
25.54784,332.00,1.00,27.19,102.13,39.35,253.98,341.20,381.12,4.74,216.0
25.75246,334.00,1.00,27.18,102.12,39.35,255.16,342.60,381.12,4.56,216.0
26.06667,335.00,1.00,27.19,102.13,39.35,256.35,343.90,381.32,4.44,216.0
26.36839,337.00,1.00,27.19,102.12,39.34,255.75,345.16,381.24,4.50,216.0
26.67832,338.00,1.00,27.19,102.13,39.35,254.57,346.58,381.10,4.68,216.0
26.89789,340.00,1.00,27.19,102.13,39.34,255.55,347.96,381.02,4.60,217.0
27.19803,342.00,1.00,27.20,102.12,39.35,253.21,349.06,381.18,4.68,217.0
27.49811,344.00,1.00,27.19,102.12,39.35,253.60,350.36,381.26,4.74,217.0
27.7979,344.00,1.00,27.19,102.12,39.35,256.55,351.56,381.22,4.56,217.0
28.01172,346.00,1.00,27.20,102.12,39.35,253.60,352.92,381.16,4.72,216.0
28.3194,347.00,1.00,27.20,102.13,39.36,254.38,354.24,381.18,4.52,217.0
28.61677,349.00,1.00,27.20,102.12,39.35,253.79,355.50,381.32,4.56,217.0
28.93043,350.00,1.00,27.20,102.13,39.37,255.55,356.80,381.36,4.62,217.0
29.15032,351.00,1.00,27.20,102.13,39.35,254.77,358.06,381.24,4.68,218.0
29.54985,353.00,1.00,27.20,102.13,39.35,255.75,359.30,381.32,4.66,217.0
29.7506,359.00,1.00,27.20,102.13,39.35,252.82,360.46,381.20,4.62,218.0
30.05038,356.00,1.00,27.21,102.12,39.35,253.98,361.68,381.24,4.56,218.0
30.25323,357.00,1.00,27.21,102.13,39.34,252.43,362.96,381.18,4.56,219.0
30.5783,358.00,1.00,27.21,102.12,39.35,255.36,364.24,381.22,4.54,218.0
30.88405,358.00,1.00,27.22,102.12,39.34,254.77,365.24,381.34,4.62,219.0
31.08801,360.00,1.00,27.22,102.12,39.35,253.79,366.38,381.22,4.72,219.0
31.38391,361.00,1.00,27.22,102.12,39.34,253.01,367.64,381.22,4.60,220.0
31.6506,363.00,1.00,27.22,102.12,39.33,252.05,368.84,381.24,4.62,220.0
31.99809,360.00,1.00,27.22,102.12,39.35,253.79,369.98,381.24,4.76,220.0
32.29804,365.00,1.00,27.22,102.13,39.35,254.96,371.08,381.16,4.62,221.0
32.51236,365.00,1.00,27.21,102.12,39.34,252.63,372.26,381.16,4.64,221.0
32.81683,367.00,1.00,27.23,102.13,39.33,252.82,373.58,381.08,4.58,220.0
33.13094,367.00,1.00,27.23,102.13,39.35,253.21,374.58,381.06,4.74,219.0
33.35049,368.00,1.00,27.22,102.12,39.34,252.63,375.80,381.10,4.64,221.0
33.76738,370.00,1.00,27.23,102.13,39.33,253.40,376.90,381.22,4.58,220.0
33.95089,371.00,1.00,27.23,102.13,39.37,254.38,378.06,381.02,4.56,222.0
34.25067,372.00,1.00,27.23,102.13,39.35,254.18,379.24,381.18,4.56,222.0
34.55265,373.00,1.00,27.23,102.13,39.36,253.01,380.06,381.16,4.48,223.0
34.86709,373.00,1.00,27.23,102.13,39.35,253.60,381.34,381.18,4.62,223.0
35.06773,375.00,1.00,27.24,102.13,39.36,252.43,382.42,381.04,4.62,222.0
35.39822,375.00,1.00,27.24,102.13,39.36,252.82,383.28,380.96,4.68,222.0
35.69823,377.00,1.00,27.24,102.12,39.36,253.98,384.52,381.02,4.60,222.0
35.87701,377.00,1.00,27.24,102.13,39.35,254.96,385.52,381.00,4.78,222.0
36.20288,378.00,1.00,27.24,102.13,39.35,254.77,386.44,381.06,4.58,223.0
36.50235,379.00,1.00,27.24,102.13,39.36,252.82,387.64,381.04,4.52,223.0
36.8319,380.00,1.00,27.24,102.13,39.35,252.24,388.92,381.02,4.52,223.0
37.11536,381.00,1.00,27.24,102.13,39.35,253.60,389.94,380.98,4.48,223.0
